@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
494,'2019/09/19 21:52:14:939',2,-14145775,-14145774,-14145774,-13882605,-13685485,-13751021,-13882349,-13948397,-14014190,-14277104,-9931914,-10326158,-10719381,-11773613,-12235199,-12894420,-13224157,-13487072,-13553380,-13685226,-8153948,-8153691,-7692633,-7364438,-7166807,-7365729,-7365468,-8088166,-8679789,-10128268,-8286050,-7891037,-6706252,-6773335,-6840157,-5854038,-6511455,-6904413,-7297370,-7889246,-7102550,-7299926,-6181709,-6445910,-5327178,-5589066,-5785161,-5916233,-6508114,-7428701,-7563874,-7695713,-6445910,-6182996,-4867907,-5194819,-5522243,-5917003,-7034970,-8021606,-8159391,-10067115,-7830653,-7896959,-7502202,-7040108,-5987679,-6248283,-7035481,-7559507,-11450072,-11910614,-7831421,-7039843,-7236712,-6247763,-6313558,-6642009,-6902606,-7952977,-13094120,-13291499,-13489132,-13291232,-10527158,-10262951,-10327196,-9076618,-9669012,-9541019,-13686256,-13752049,-13159917,-12765931,-12437483,-13555183,-14409458,-12831209,-11452385,-10800337,1
495,'2019/09/19 21:52:14:975',2,-14211568,-14211567,-14211568,-13882607,-13751022,-13751278,-13882607,-13948399,-14014447,-14277105,-11644085,-12104125,-12498373,-13354970,-13684709,-13488104,-13685482,-13882346,-13684969,-13751020,-7760219,-7824470,-7231054,-7428687,-7559766,-8548977,-9075836,-9865353,-10194066,-11248557,-7692884,-7692885,-6903889,-6905436,-7103588,-5986139,-6314331,-7036513,-7297883,-8021345,-8220773,-7366492,-6313296,-6577499,-5458507,-5589325,-6049108,-6179665,-6639702,-7362652,-6051152,-7432287,-6445910,-6051668,-4932933,-5260101,-5390402,-5653317,-6442834,-7561313,-8552330,-8881028,-7236457,-7236971,-5922137,-5591118,-5525073,-6050133,-7035997,-7691611,-11449816,-11713235,-7174262,-7633531,-8423308,-7697786,-6645353,-6446433,-6706001,-7493456,-13094120,-13159912,-11778505,-10329506,-8485760,-7628394,-7364190,-7297370,-8020576,-9008239,-13620719,-13686512,-13094124,-12700139,-12306153,-13489132,-14277615,-12567521,-11254489,-10799825,1
496,'2019/09/19 21:52:15:006',2,-14211826,-14211826,-14277361,-13948400,-13751280,-13751279,-13817327,-13948655,-14014447,-14277361,-13356514,-13553895,-13817067,-14080238,-13882861,-13488619,-13685739,-13882860,-13619947,-13685741,-7431767,-7758934,-7822937,-8877168,-9469313,-10326169,-11708846,-12234934,-11775420,-12368591,-7562068,-7825242,-6970452,-6839384,-6972001,-6249308,-6051413,-6905694,-7298137,-8219494,-8089443,-7431770,-6313295,-6446426,-5721677,-5524559,-6051164,-6378587,-6706266,-7297372,-6971995,-7366492,-6248787,-6052181,-4933191,-5260615,-5390661,-5521731,-6113870,-7034972,-8024938,-7498334,-5918794,-5854029,-4737091,-4998468,-5260616,-5720910,-6640983,-7561054,-11318484,-11910611,-8753046,-8687252,-8753045,-8159879,-6712688,-6184032,-6839130,-7362900,-12963048,-12699873,-8686990,-7500652,-7301987,-6378319,-6180940,-6772565,-7232085,-8020570,-13620463,-13620719,-12963051,-12503015,-11647703,-12172237,-12368326,-10722993,-10066602,-10467258,1
497,'2019/09/19 21:52:15:040',2,-14211826,-14211826,-14277361,-13948400,-13751280,-13751279,-13817327,-13948655,-14014447,-14277361,-13356514,-13553895,-13817067,-14080238,-13882861,-13488619,-13685739,-13882860,-13619947,-13685741,-7431767,-7758934,-7822937,-8877168,-9469313,-10326169,-11708846,-12234934,-11775420,-12368591,-7562068,-7825242,-6970452,-6839384,-6972001,-6249308,-6051413,-6905694,-7298137,-8219494,-8089443,-7431770,-6313295,-6446426,-5721677,-5524559,-6051164,-6378587,-6706266,-7297372,-6971995,-7366492,-6248787,-6052181,-4933191,-5260615,-5390661,-5521731,-6113870,-7034972,-8024938,-7498334,-5918794,-5854029,-4737091,-4998468,-5260616,-5720910,-6640983,-7561054,-11318484,-11910611,-8753046,-8687252,-8753045,-8159879,-6712688,-6184032,-6839130,-7362900,-12963048,-12699873,-8686990,-7500652,-7301987,-6378319,-6180940,-6772565,-7232085,-8020570,-13620463,-13620719,-12963051,-12503015,-11647703,-12172237,-12368326,-10722993,-10066602,-10467258,1
498,'2019/09/19 21:52:15:074',2,-14212083,-14277619,-14212083,-13883121,-13686001,-13751536,-13817329,-13883376,-14014449,-14212082,-13817327,-13817583,-13948912,-14080753,-13948912,-13554414,-13751534,-13948654,-13620206,-13685743,-10789805,-11118257,-11446197,-12236231,-12697812,-13027294,-15461110,-15460596,-13290983,-13094121,-6840917,-6971219,-6509390,-6509131,-6442828,-7035482,-7037024,-7431782,-8219758,-9010045,-7101263,-7101522,-6510415,-6182742,-6644066,-5920092,-5723741,-6446437,-6773088,-7363681,-8089958,-7301471,-5919310,-6117720,-5328207,-5129803,-5523535,-5654351,-6048595,-6706011,-8353648,-7762023,-6248789,-6250333,-4670532,-4932936,-5062724,-5390919,-6048591,-6969950,-9605529,-9605011,-8223613,-8027261,-7567225,-6646121,-5986653,-5722969,-6708320,-7496034,-12897255,-12963303,-8424339,-7436669,-7963012,-8093318,-7565942,-6710634,-6905184,-7429465,-13554928,-13489390,-11318476,-9606819,-9145748,-9076868,-8878712,-8088174,-8285037,-9077378,1
499,'2019/09/19 21:52:15:108',2,-14212083,-14277619,-14212083,-13883121,-13686001,-13751536,-13817329,-13883376,-14014449,-14212082,-13817327,-13817583,-13948912,-14080753,-13948912,-13554414,-13751534,-13948654,-13620206,-13685743,-10789805,-11118257,-11446197,-12236231,-12697812,-13027294,-15461110,-15460596,-13290983,-13094121,-6840917,-6971219,-6509390,-6509131,-6442828,-7035482,-7037024,-7431782,-8219758,-9010045,-7101263,-7101522,-6510415,-6182742,-6644066,-5920092,-5723741,-6446437,-6773088,-7363681,-8089958,-7301471,-5919310,-6117720,-5328207,-5129803,-5523535,-5654351,-6048595,-6706011,-8353648,-7762023,-6248789,-6250333,-4670532,-4932936,-5062724,-5390919,-6048591,-6969950,-9605529,-9605011,-8223613,-8027261,-7567225,-6646121,-5986653,-5722969,-6708320,-7496034,-12897255,-12963303,-8424339,-7436669,-7963012,-8093318,-7565942,-6710634,-6905184,-7429465,-13554928,-13489390,-11318476,-9606819,-9145748,-9076868,-8878712,-8088174,-8285037,-9077378,1
500,'2019/09/19 21:52:15:148',2,-14343155,-14277619,-14277619,-13883122,-13751281,-13817073,-13817329,-13948657,-14014449,-14277363,-13882863,-13817584,-13949169,-14146290,-13948913,-13554414,-13817071,-13948655,-13685485,-13751279,-11645377,-11842244,-12170697,-12697554,-13092830,-13356261,-15724282,-15724024,-13422313,-13093866,-6775125,-6576463,-6508876,-6508363,-6705742,-7165785,-7496806,-7694185,-8417140,-9075324,-7101007,-7166805,-6970710,-6313559,-6840420,-6314594,-5723488,-6446182,-7036006,-7429475,-8221032,-7629925,-6181969,-6116952,-5788245,-5195340,-5655123,-5851474,-6114132,-6771548,-8484978,-8024428,-6445399,-6381408,-4998985,-4998730,-5128005,-5456456,-5982543,-6969182,-9144717,-9275274,-7959670,-7828598,-7369333,-6447973,-6051676,-5854300,-6707553,-7627367,-12962792,-13094376,-9937070,-7699330,-8225930,-8619921,-8092032,-6842222,-7037286,-7495260,-13554928,-13554927,-11449807,-9474720,-9079441,-9010817,-8615029,-7956332,-8152939,-8944509,1
501,'2019/09/19 21:52:15:241',2,-14277620,-14212083,-14277363,-13882866,-13751281,-13751280,-13817328,-13948656,-14014449,-14277362,-13817326,-13751790,-13883375,-14080496,-13883119,-13554156,-13751277,-13882861,-13619948,-13685486,-10065569,-9144203,-9406604,-9734029,-10325912,-10787237,-12563131,-13287624,-11906752,-12104905,-7104347,-6840408,-7102298,-7102042,-6970716,-7036255,-7103336,-6774628,-7563371,-8153451,-8024935,-7365470,-7168093,-6444113,-6247768,-6642527,-5787480,-6445927,-7102316,-7495529,-7695460,-7694434,-6906202,-5786957,-6182744,-5261389,-5523791,-5850959,-6047566,-6639703,-8554114,-8025203,-7630698,-6248791,-6183516,-4867913,-5195595,-5588557,-6246487,-7167073,-10791102,-10922169,-10987702,-8817555,-8291469,-8225934,-8158857,-7106680,-6709867,-7431528,-13028586,-13225709,-13226475,-7700356,-7105644,-7499888,-6839390,-6575446,-7298399,-7890020,-13620721,-13686514,-13028845,-12568553,-11713498,-11909324,-12170691,-10986939,-10000301,-9939374,1
502,'2019/09/19 21:52:15:289',2,-14277363,-14277362,-14277362,-13882865,-13751281,-13751280,-13817073,-13948400,-14079728,-14277106,-13817070,-13751533,-13817325,-14079982,-13882861,-13553899,-13751021,-13948141,-13685227,-13685230,-9868447,-7826539,-7695209,-8350827,-8810611,-9535365,-10719382,-11510697,-10918567,-11247790,-7629921,-7168859,-7299164,-7431007,-6970719,-7497065,-7037803,-6577765,-7563374,-8153197,-8419694,-7826277,-7365987,-6641751,-6576735,-6444892,-5786966,-6576229,-7034981,-7363172,-6709857,-8024431,-7630185,-6248023,-6446431,-5261390,-5589328,-5850702,-6047566,-6902618,-8751234,-7629930,-7563623,-5919055,-6116182,-5065292,-5327182,-5786451,-6444125,-7430503,-11318230,-12173274,-12436184,-9673896,-8357779,-8686488,-8422799,-7434875,-6907503,-7364965,-13094122,-13291500,-13423597,-10266291,-7829887,-7696753,-7232608,-6706005,-7428444,-8218215,-13686258,-13686514,-13028847,-12634604,-12306155,-13292012,-13948907,-12501986,-11187670,-10470604,1
503,'2019/09/19 21:52:15:323',2,-14211827,-14211570,-14211570,-13882609,-13685488,-13685744,-13817072,-13882863,-14014191,-14277106,-13619946,-13027037,-13027035,-13355487,-13421539,-13422056,-13619691,-13882347,-13619433,-13619692,-9736603,-7103325,-6905432,-7494998,-7559767,-8086371,-8942455,-9536135,-9601930,-10128018,-7563871,-7364955,-7298395,-7496544,-6970977,-7629423,-6709097,-6709354,-7628914,-8021357,-8157299,-7892589,-7498859,-6379351,-6642784,-6116186,-5786709,-6443357,-6639707,-7231329,-4737871,-7367279,-7630190,-6379866,-6511970,-5130060,-5523534,-5785166,-6179409,-7231840,-8686228,-8355461,-8354429,-6906981,-6907754,-6119267,-5986138,-5985886,-6510692,-7562860,-11384283,-12634088,-13160425,-9082532,-7370368,-8093834,-7960707,-7104623,-7169133,-7364193,-13028587,-13291502,-13489391,-12765917,-9673134,-9342617,-9339531,-8484482,-8483711,-8879234,-13686257,-13752051,-13094383,-12765934,-12371950,-13423857,-14278131,-12765674,-11517667,-10603480,1
